Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
T-shirt,,,,0,0,0,7,,,,,10.649295199895278,10.649295199895278,1,3.7507358000148088,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
chart,,,,0,1,1,6,,,,,14.399654599837959,14.399654599837959,1.0055555555555555,2.2569956998340786,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
pastry,,,,0,2,2,9,,,,,16.682961399899796,16.682961399899796,1,1.6909539001062512,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
phone,,,,0,3,3,2,,,,,18.399492099881172,18.399492099881172,1,1.106861799955368,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
marble,,,,0,4,4,3,,,,,19.532726799836382,19.532726799836382,1,1.6932953000068665,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
keys,,,,0,5,5,13,,,,,21.249337499961257,21.249337499961257,1,2.4129224000498652,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
police,,,,0,6,6,12,,,,,23.69122579996474,23.69122579996474,1,1.0995215999428183,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
laptop,,,,0,7,7,5,,,,,24.822573599871248,24.822573599871248,1,1.1596168000251055,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
case,,,,0,8,8,10,,,,,26.016261299839243,26.016261299839243,4.977777777777778,3.92665720009245,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
beard,,,,0,9,9,4,,,,,29.966008299961686,29.966008299961686,1,2.4433625999372452,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
poster,,,,0,10,10,14,,,,,32.45441559981555,32.45441559981555,1,1.1882267999462783,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
cushion,,,,0,11,11,1,,,,,33.69087479985319,33.69087479985319,1,1.6547764998394996,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
cruise,,,,0,12,12,11,,,,,35.38814109982923,35.38814109982923,1,1.6413509999401867,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
book,,,,0,13,13,0,,,,,37.08260570000857,37.08260570000857,1,0.8879376000259072,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
mouse,,,,0,14,14,8,,,,,38.006473699817434,38.006473699817434,1,0.9341655001044273,,,,,,,,,,,,,,269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,v_s_,vase,new,,,,,0,0,0,17,,,,,38.96515559987165,38.96515559987165,38.96515559987165,0.014979599975049496,48.96492309984751,vase,[-0.018055555555555554],[-0.30277777777777776],[1],[0],[0],[25.08223979989998],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,_oo_,book,old,,,,,0,1,1,13,,,,,64.06529209995642,64.06529209995642,64.06529209995642,0.004228400066494942,,book,[-0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[5.941667199833319],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,_ha_t,chart,old,,,,,0,2,2,1,,,,,70.01519139995798,70.01519139995798,70.01519139995798,0.0044501000083982944,,chart,[-0.02361111111111111],[-0.30694444444444446],[1],[0],[0],[8.177359700202942],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,p_s__y,pastry,old,,,,,0,3,3,4,,,,,78.18090849998407,78.18090849998407,78.18090849998407,0.0029009999707341194,88.18146009999327,pastery,[0.015277777777777777],[-0.3111111111111111],[1],[0],[0],[10.729619899997488],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,_ou_e,mouse,old,,,,,0,4,4,3,,,,,88.93158430000767,88.93158430000767,88.93158430000767,0.004735399968922138,,mouse,[-0.005555555555555556],[-0.30416666666666664],[1],[0],[0],[6.542045700130984],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,p_st_r,poster,old,,,,,0,5,5,9,,,,,95.46410889993422,95.46410889993422,95.46410889993422,0.002964199986308813,,poster,[-0.020833333333333332],[-0.2986111111111111],[1],[0],[0],[6.263034299947321],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
