Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
mouse,,,,0,0,0,8,,,,,14.635614900151268,14.635614900151268,1,5.766433299984783,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
poster,,,,0,1,1,14,,,,,20.395274700131267,20.395274700131267,1,1.996165599906817,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
T-shirt,,,,0,2,2,7,,,,,22.418329800013453,22.418329800013453,1,1.216174100060016,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
phone,,,,0,3,3,2,,,,,23.67660960019566,23.67660960019566,1,0.9516354000661522,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
cruise,,,,0,4,4,11,,,,,24.663176000118256,24.663176000118256,1,0.91586699988693,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
pastry,,,,0,5,5,9,,,,,25.627975000068545,25.627975000068545,1,0.799992399988696,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
police,,,,0,6,6,12,,,,,26.461988900089636,26.461988900089636,1,0.8470879001542926,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
laptop,,,,0,7,7,5,,,,,27.334739400073886,27.334739400073886,1,0.7756193999666721,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
cushion,,,,0,8,8,1,,,,,28.134925900027156,28.134925900027156,1,0.8427369000855833,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
beard,,,,0,9,9,4,,,,,29.00166180008091,29.00166180008091,1,0.8593605000060052,,,,,,,,,,,,,,580995,001,2023-10-05_21h33.39.350,word_priming_exp,2023.1.3,59.775435714610346,
